[2023-02-02T09:40:59.975] [info] non-service runs
[2023-02-02T09:40:59.989] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:07.887] [info] non-service runs
[2023-02-02T09:41:07.899] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:20.365] [info] non-service runs
[2023-02-02T09:41:20.378] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:34.917] [info] non-service runs
[2023-02-02T09:41:34.929] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:50.902] [info] 2023-02-02 09:41:50.9026285 +0800 CST m=+7.400371701
[2023-02-02T09:41:50.902] [error] 2023-02-02 09:41:50.9029146 +0800 CST m=+7.400657801Error
[2023-02-02T09:42:30.635] [info] 2023-02-02 09:42:30.6353749 +0800 CST m=+47.133118101
[2023-02-02T09:42:30.636] [error] 2023-02-02 09:42:30.6363755 +0800 CST m=+47.134118701Error
[2023-02-02T09:42:30.659] [info] 2023-02-02 09:42:30.6597645 +0800 CST m=+47.157507701
[2023-02-02T09:42:30.660] [error] 2023-02-02 09:42:30.6604063 +0800 CST m=+47.158149501Error
[2023-02-02T09:43:44.255] [info] 2023-02-02 09:43:44.2556654 +0800 CST m=+120.753408601
[2023-02-02T09:43:44.255] [error] 2023-02-02 09:43:44.2556654 +0800 CST m=+120.753408601Error
[2023-02-02T09:43:44.270] [info] 2023-02-02 09:43:44.270857 +0800 CST m=+120.768600201
[2023-02-02T09:43:44.280] [error] 2023-02-02 09:43:44.280874 +0800 CST m=+120.778617201Error
[2023-02-02T09:44:54.353] [info] non-service runs
[2023-02-02T09:44:54.365] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:51:21.258] [info] non-service runs
[2023-02-02T09:51:21.270] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:51:21.525] [info] 2023-02-02 09:51:21.5254461 +0800 CST m=+0.274434201
[2023-02-02T09:51:21.525] [error] 2023-02-02 09:51:21.5254461 +0800 CST m=+0.274434201Error
[2023-02-02T09:51:21.720] [info] 2023-02-02 09:51:21.72026 +0800 CST m=+0.469248101
[2023-02-02T09:51:21.720] [error] 2023-02-02 09:51:21.7206629 +0800 CST m=+0.469651001Error
[2023-02-02T09:51:23.640] [info] 2023-02-02 09:51:23.6407512 +0800 CST m=+2.389739301
[2023-02-02T09:51:23.640] [error] 2023-02-02 09:51:23.6407512 +0800 CST m=+2.389739301Error
[2023-02-02T09:51:23.671] [info] 2023-02-02 09:51:23.6716242 +0800 CST m=+2.420612301
[2023-02-02T09:51:23.672] [error] 2023-02-02 09:51:23.6721873 +0800 CST m=+2.421175401Error
[2023-02-02T09:52:20.413] [info] non-service runs
[2023-02-02T09:52:20.426] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:52:29.047] [info] non-service runs
[2023-02-02T09:52:29.060] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:52:39.833] [info] non-service runs
[2023-02-02T09:52:39.845] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:52:49.710] [info] non-service runs
[2023-02-02T09:52:49.724] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:52:49.974] [info] 2023-02-02 09:52:49.9749856 +0800 CST m=+0.270043601
[2023-02-02T09:52:49.974] [error] 2023-02-02 09:52:49.9749856 +0800 CST m=+0.270043601Error
[2023-02-02T09:52:50.095] [info] 2023-02-02 09:52:50.0950553 +0800 CST m=+0.390113301
[2023-02-02T09:52:50.095] [error] 2023-02-02 09:52:50.0956328 +0800 CST m=+0.390690801Error
[2023-02-02T09:52:52.875] [info] 2023-02-02 09:52:52.8758474 +0800 CST m=+3.170905401
[2023-02-02T09:52:52.875] [error] 2023-02-02 09:52:52.8758474 +0800 CST m=+3.170905401Error
[2023-02-02T09:52:52.927] [info] 2023-02-02 09:52:52.9275558 +0800 CST m=+3.222613801
[2023-02-02T09:52:52.928] [error] 2023-02-02 09:52:52.9275558 +0800 CST m=+3.222613801Error
[2023-02-02T09:52:53.279] [info] 2023-02-02 09:52:53.2795875 +0800 CST m=+3.574645501
[2023-02-02T09:52:53.279] [error] 2023-02-02 09:52:53.2796827 +0800 CST m=+3.574740701Error
[2023-02-02T09:52:53.308] [info] 2023-02-02 09:52:53.3089293 +0800 CST m=+3.603987301
[2023-02-02T09:52:53.309] [error] 2023-02-02 09:52:53.3091086 +0800 CST m=+3.604166601Error
[2023-02-02T09:52:53.489] [info] 2023-02-02 09:52:53.4899428 +0800 CST m=+3.785000801
[2023-02-02T09:52:53.490] [error] 2023-02-02 09:52:53.4905586 +0800 CST m=+3.785616601Error
[2023-02-02T09:52:53.518] [info] 2023-02-02 09:52:53.5185607 +0800 CST m=+3.813618701
[2023-02-02T09:52:53.518] [error] 2023-02-02 09:52:53.5188515 +0800 CST m=+3.813909501Error
[2023-02-02T09:53:29.032] [info] non-service runs
[2023-02-02T09:53:29.047] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:53:29.253] [info] 2023-02-02 09:53:29.2532038 +0800 CST m=+0.225875701
[2023-02-02T09:53:29.253] [error] 2023-02-02 09:53:29.253815 +0800 CST m=+0.226486901Error
[2023-02-02T09:53:29.401] [info] 2023-02-02 09:53:29.4012224 +0800 CST m=+0.373894301
[2023-02-02T09:53:29.401] [error] 2023-02-02 09:53:29.4016688 +0800 CST m=+0.374340701Error
[2023-02-02T09:53:41.767] [info] 2023-02-02 09:53:41.7676091 +0800 CST m=+12.740281001
[2023-02-02T09:53:41.768] [error] 2023-02-02 09:53:41.768202 +0800 CST m=+12.740873901Error
[2023-02-02T09:53:41.814] [info] 2023-02-02 09:53:41.8146301 +0800 CST m=+12.787302001
[2023-02-02T09:53:41.815] [error] 2023-02-02 09:53:41.8151896 +0800 CST m=+12.787861501Error
[2023-02-02T09:54:44.594] [info] non-service runs
[2023-02-02T09:54:44.608] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:54:44.777] [info] 2023-02-02 09:54:44.777941 +0800 CST m=+0.187495901
[2023-02-02T09:54:44.778] [error] 2023-02-02 09:54:44.7784699 +0800 CST m=+0.188024801Error
[2023-02-02T09:54:44.914] [info] 2023-02-02 09:54:44.9147439 +0800 CST m=+0.324298801
[2023-02-02T09:54:44.914] [error] 2023-02-02 09:54:44.9149528 +0800 CST m=+0.324507701Error
[2023-02-02T09:54:49.716] [info] 2023-02-02 09:54:49.716349 +0800 CST m=+5.125903901
[2023-02-02T09:54:49.716] [error] 2023-02-02 09:54:49.716349 +0800 CST m=+5.125903901Error
[2023-02-02T09:54:49.746] [info] 2023-02-02 09:54:49.7469256 +0800 CST m=+5.156480501
[2023-02-02T09:54:49.747] [error] 2023-02-02 09:54:49.7477256 +0800 CST m=+5.157280501Error
[2023-02-02T09:54:50.636] [info] 2023-02-02 09:54:50.6364046 +0800 CST m=+6.045959501
[2023-02-02T09:54:50.636] [error] 2023-02-02 09:54:50.6366096 +0800 CST m=+6.046164501Error
[2023-02-02T09:54:50.664] [info] 2023-02-02 09:54:50.6645353 +0800 CST m=+6.074090201
[2023-02-02T09:54:50.665] [error] 2023-02-02 09:54:50.6651549 +0800 CST m=+6.074709801Error
[2023-02-02T09:54:53.376] [info] 2023-02-02 09:54:53.3763891 +0800 CST m=+8.785944001
[2023-02-02T09:54:53.376] [error] 2023-02-02 09:54:53.3768083 +0800 CST m=+8.786363201Error
[2023-02-02T09:54:53.418] [info] 2023-02-02 09:54:53.4188264 +0800 CST m=+8.828381301
[2023-02-02T09:54:53.419] [error] 2023-02-02 09:54:53.4194442 +0800 CST m=+8.828999101Error
[2023-02-02T09:55:04.346] [info] 2023-02-02 09:55:04.3469989 +0800 CST m=+19.756553801
[2023-02-02T09:55:06.020] [error] 2023-02-02 09:55:06.0206826 +0800 CST m=+21.430237501Error
[2023-02-02T09:55:06.049] [info] 2023-02-02 09:55:06.0499659 +0800 CST m=+21.459520801
[2023-02-02T09:55:07.068] [error] 2023-02-02 09:55:07.0688262 +0800 CST m=+22.478381101Error
[2023-02-02T09:58:34.337] [info] non-service runs
[2023-02-02T09:58:34.350] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:58:34.546] [info] 2023-02-02 09:58:34.5468261 +0800 CST m=+0.213874601
[2023-02-02T09:58:34.546] [error] 2023-02-02 09:58:34.5468261 +0800 CST m=+0.213874601Error
[2023-02-02T09:58:34.677] [info] 2023-02-02 09:58:34.6770524 +0800 CST m=+0.344100901
[2023-02-02T09:58:34.677] [error] 2023-02-02 09:58:34.6776775 +0800 CST m=+0.344726001Error
[2023-02-02T09:59:27.453] [info] non-service runs
[2023-02-02T09:59:27.466] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:59:48.772] [info] 2023-02-02 09:59:48.7729923 +0800 CST m=+21.323549801
[2023-02-02T09:59:48.772] [error] 2023-02-02 09:59:48.7729923 +0800 CST m=+21.323549801Error
[2023-02-02T09:59:48.842] [info] 2023-02-02 09:59:48.8423256 +0800 CST m=+21.392883101
[2023-02-02T09:59:48.842] [error] 2023-02-02 09:59:48.8425976 +0800 CST m=+21.393155101Error
[2023-02-02T10:00:40.394] [info] 2023-02-02 10:00:40.3947099 +0800 CST m=+72.945267401
